Priority,Source Type,Venue / Source Name,Town,Area Group,Event Categories,Opportunity Type,Website / Main Link,Event Listings Link,Facebook Link,Instagram Link,Ticket Platform,Check Method,Check Frequency,Last Checked,Status,Verification Level,Lifestyle Filters,Route Potential,Notes,Contact Name,Contact Email,Submission Friendly,Facebook Post Worthy,Recurring Events,Typical Event Style
High,Church,Home Church,Kirkintilloch,East Dunbartonshire,"Church / Faith, Community, Family","Attend, Volunteer, Network",,,,,,Website + socials + word of mouth,Weekly,,Active,Confirmed,"Faith-connected, Worth attending, Good for Alan",Local only,Core personal anchor source.,,,Maybe,Yes,Yes,Community church events
Medium-High,Social Page,Home Church Facebook,Kirkintilloch,East Dunbartonshire,"Church / Faith, Community, Family","Attend, Volunteer, Promote",,,,,,Facebook + manual check,Weekly,,Active,Social-only,"Faith-connected, Worth posting",Local only,Fast-moving update surface for Home Church.,,,Maybe,Yes,Yes,Short-notice church/community posts
High,Church,Lennoxtown Free Church,Lennoxtown,Campsie / East Dunbartonshire,"Church / Faith, Community, Family","Attend, Volunteer, Network",,,,,,Facebook + local knowledge,Weekly,,Active,Confirmed,"Faith-connected, Good for Alan",Local only,Trusted local church/community source.,,,Maybe,Yes,Yes,Local church community events
Medium,Social Page,Lennoxtown Free Church Facebook,Lennoxtown,Campsie / East Dunbartonshire,"Church / Faith, Community","Attend, Promote",,,,,,Facebook + manual check,Weekly,,Active,Social-only,"Faith-connected, Worth posting",Local only,Use for short-notice updates and recurring notices.,,,Maybe,Selective,Yes,Short community updates
High,Recovery Group,AA Event / Convention Sources,Scotland,Scotland,"Recovery, Convention, Retreat","Attend, Travel, Service",,,,,,Website + event pages,Monthly,,Active,Confirmed,"Good for recovery, Worth attending",Overnight trip,AA is core recovery foundation; track conventions and speaker weekends.,,,No,Selective,Yes,Conventions and recovery gatherings
Medium-High,Recovery Group,Glasgow AA Convention,Glasgow North,Glasgow,"Recovery, Convention","Attend, Travel",,,,,,Convention pages + fellowship word of mouth,Monthly,,Active,Confirmed,"Good for recovery, Worth attending",Train friendly,Specific AA convention watch source.,,,No,Selective,Yes,Convention weekend
Medium-High,Recovery Group,Scottish National AA Convention,Scotland,Scotland,"Recovery, Convention, Retreat","Attend, Travel",,,,,,Convention pages + fellowship word of mouth,Monthly,,Active,Confirmed,"Good for recovery, Worth attending",Overnight trip,National AA retreat/convention watch source.,,,No,Selective,Yes,Convention weekend
High,Recovery Group,CA Scotland Events Sources,Scotland,Scotland,"Recovery, Festival, Retreat, Social","Attend, Travel, Network",,,,,,Website + socials,Weekly,,Active,Confirmed,"Sober-friendly, Good for recovery, Worth attending",Group trip possible,High-energy sober-social event source.,,,No,Selective,Yes,Social recovery events
Medium-High,Recovery Group,CA Campsie Group,Milton of Campsie,Campsie / East Dunbartonshire,"Recovery, Community","Attend, Network",,,,,,Manual + fellowship knowledge,Weekly,,Active,Confirmed,"Sober-friendly, Good for recovery, Good for Alan",Local only,Current CA home-group candidate for Alan.,,,No,No,Yes,Recovery meeting / fellowship
Medium-High,Recovery Group,CA Hillhead Community Centre Group,Glasgow North,Glasgow,"Recovery, Community","Attend, Network",,,,,,Manual + fellowship knowledge,Weekly,,Active,Confirmed,"Sober-friendly, Good for recovery, Good for Alan",Train friendly,Current CA home-group candidate for Alan.,,,No,No,Yes,Recovery meeting / fellowship
